,ADDRESS,BATHS,BEDS,CITY,DAYS ON MARKET,DESC,HOA/MONTH,LATITUDE,LOCATION,LONGITUDE,LOT SIZE,PRICE,PROPERTY TYPE,SALE TYPE,SQUARE FEET,SQUAREFT,STATE,STATUS,URL,YEAR BUILT,ZIP,FAVORITED
10,8211 Sierra Dr,1.75,4,Edmonds,3,"This 4 bed 1.75 bath Edmonds home is move-in ready. This home has been well maintained & updated over the last few years including a new roof, windows, flooring, furnace, & water heater. Upstairs you'll find a wood burning fireplace, vaulted open beamed ceiling in living & dining room, 3 bed, 1 bath & remodeled kitchen. Daylight basement includes a large additional bed, 3/4 bath, laundry & large rec room that opens up to patio & large private back yard. Close to schools, parks & shopping.",0.0,47.8243648,Edmonds,-122.3442658,9148.0,567000,Single Family Residential,MLS Listing,1920.0,295.0,WA,Active,http://www.redfin.com/WA/Edmonds/8211-Sierra-Dr-98026/home/2745883,1959.0,98026,N
11,10415 171st Ave NE,3.25,4,Redmond,4,"Remarkable home in an ideal location on Education Hill. Exhaustive renovation plus addition completed in 2016. Gorgeous master suite with walk-in closet and spa-like en-suite. Stunning wide plank hardwood floors, gourmet kitchen with custom cabinetry and walk in pantry. Elegant design throughout the home. Back yard feels like a private retreat with ample space to relax or entertain on the deck or around the fire pit on the patio. Nearby schools and parks, close to the heart of downtown.",0.0,47.6935848,Education Hill,-122.111838,9375.0,1199000,Single Family Residential,MLS Listing,2840.0,422.0,WA,Active,http://www.redfin.com/WA/Redmond/10415-171st-Ave-NE-98052/home/325624,1968.0,98052,N
12,22999 Marine View Dr S Unit D301,1.0,2,Seattle,4,"Views galore! Gorgeous top floor, end unit has an unobstructed view of the Puget Sound and is just steps away from the pool & private beach. Every surface has been updated by the sellers: Slate flooring, kitchen cabinets, slab granite, SS appliances, paint, windows, carpet & marble bath. One of the few units with w/ d in unit! Easy walk to downtown Des Moines & the marina. Minutes to shopping & freeway. Other amenities include gated entry, balcony, picnic area, athletic court & garden space.",436.0,47.3961657,Des Moines,-122.3240774,194079.0,349950,Condo/Co-op,MLS Listing,802.0,436.0,WA,Active,http://www.redfin.com/WA/Des-Moines/22999-Marine-View-Dr-S-98198/unit-D301/home/24080,1969.0,98198,N
13,424 N 85th St #216,1.0,1,Seattle,4,"Absolutely gorgeous 1 bed unit in Greenwood’s Sapphire Condo! Spacious & open main living area features hardwood floors & a lovely kitchen w/ granite counters, tile backsplash, stylish pendant lighting & stainless appliances, all looking out to its large private balcony. Full-sized W/ D & reserved parking w/ storage. Amenity-rich complex includes resident park, patio w/ BBQ & mtn views, game room, fitness center & more. Prime Greenwood location; minutes to restaurants/shopping & easy commute to DT.",347.0,47.69108660000001,Greenwood,-122.3529004,,345000,Condo/Co-op,MLS Listing,627.0,550.0,WA,Active,http://www.redfin.com/WA/Seattle/424-N-85th-St-98103/unit-216/home/22695142,2006.0,98103,N
14,626 4th Ave W #104,1.0,1,Seattle,4,"Ideally located mere blocks to Seattle Center, downtown & everything lower Queen Anne has to offer! This stylish move-in ready unit features an open floor plan, beautiful slab granite counters, stainless steel appliances and bamboo floors. Other highlights include: in-unit washer dryer and parking spot in secured garage. Don’t miss fantastic city and Puget Sound views from roof top deck. No rental cap!",396.0,47.6254301,Queen Anne,-122.3615879,9605.0,395000,Condo/Co-op,MLS Listing,553.0,714.0,WA,Active,http://www.redfin.com/WA/Seattle/626-4th-Ave-W-98119/unit-104/home/12091096,1996.0,98119,N
15,10719 SE 278th St,2.5,5,Kent,4,"Elegant 2 story, oversized 1/3 acre corner lot home with an established nature preserve. 5 spacious bedrooms, 2.5 luxurious baths, ultra large picturesque windows, high-ceilings, beautiful planked floors and A/C! Stylish contemporary kitchen features an upgraded extra-large Caesarstone island, walk-in pantry and SS appls. Expansive great room with huge double sliding glass doors that open to the outdoor covered entertainment deck and 2nd fireplace. Relax to the tranquil sounds of nature!",53.0,47.3523975,Kent,-122.1979393,14446.0,674950,Single Family Residential,MLS Listing,2574.0,262.0,WA,Active,http://www.redfin.com/WA/Kent/10719-SE-278th-St-98030/home/50269406,2014.0,98030,N
16,3401 Belvidere Ave SW,2.0,3,Seattle,4,"Rare opportunity Tudor home in coveted Belvidere! Situated on corner lot w/ partial city & mtn views, this property can't be missed. Main flr boasts LR/KIT/DR, 2 BR & full BA, upstairs find spacious & private master w/ walk-in closet & 5-piece BA. Mostly fin. lower lvl media RM w/ high ceilings, ready to make your own & attached garage or wine cellar, you choose! Nestled btwn Alaska Junction & Admiral w/ shopping, food, & access to WS Bridge to DT. Enjoy quiet living that’s close to the action!",0.0,47.5729975,Belvidere,-122.3795172,4976.0,849000,Single Family Residential,MLS Listing,2710.0,313.0,WA,Active,http://www.redfin.com/WA/Seattle/3401-Belvidere-Ave-SW-98126/home/327918,1930.0,98126,N
17,1641 76th Ave SE,2.75,5,Lake Stevens,4,"Welcome home! Amazing craftsmanship, open, light & spacious. 5 bdrms, 2.75 bath w/ huge bonus room featuring ‘in ceiling’ professionally wired surround sound w/ pre-wired/set up projector. Main fl hosts kitchen w/ granite slab, & new appliances. Under mount sink overlooks spacious great room, dining area & fully permitted attached outside pergola, great for entertaining! 1 bdrm on main level w/ ¾ bath. Upstairs find Master w/ en-suite ba & walk in closet. Remaining bdrms-great for office or craft rm.",37.0,47.979965,Lake Stevens,-122.128174,6098.0,495000,Single Family Residential,MLS Listing,2670.0,185.0,WA,Active,http://www.redfin.com/WA/Lake-Stevens/1641-76th-Ave-SE-98258/home/113070871,2015.0,98258,N
18,300 2nd Ave N Unit 2G,1.0,2,Edmonds,4,"Enjoy gorgeous views of Puget Sound and incredible sunsets while entertaining on the large deck of this beautifully updated home, just 1 block from the beach. Kitchen offers granite counter tops and wood flooring flows thru the open and bright floor plan. Covered off-street parking plus 4 on-site spots and plenty of street parking for your guests, and an extra storage unit. Lobby entry with elevator along with exercise room, sauna, club room and workshop. Welcome Home!",350.0,47.8141304,Downtown Edmonds,-122.3783612,,489999,Condo/Co-op,MLS Listing,946.0,518.0,WA,Active,http://www.redfin.com/WA/Edmonds/300-2nd-Ave-N-98020/unit-2G/home/2667028,1965.0,98020,N
19,583 Battery St Unit 3003N,2.0,2,Seattle,4,"Exquisite, northeast corner Insignia sky sanctuary. Take in wraparound views of Puget Sound, Olympics, Lake Union and Cascades from two balconies. Spacious two-bedroom & den plan, expertly elevated with silk, wood and leather wall coverings, custom shelving and closet systems throughout. Side by side, extra deep parking spaces on P0 for easy access. Insignia’s unparalleled amenities include concierge, 41st floor sky lounge, pool, spa, fitness center and screening room. Summer is calling!",1012.0,47.6170463,Belltown,-122.34372820000002,,1888000,Condo/Co-op,MLS Listing,1476.0,1279.0,WA,Active,http://www.redfin.com/WA/Seattle/583-Battery-St-98121/unit-3003N/home/113201980,2015.0,98121,N
20,16046 Military Rd S,2.0,5,SeaTac,4,"Well maintained craftsman on a 1/3 acre oasis and private road. Ultra convenient location- walk to light rail, bus, Safeway, restaurants, shopping and dog park. Easy access to freeway, airport and Southcenter Mall. 2 big decks- lots of outdoor living & entertainment. Newer roof, gutters, flooring, paint and many more updates. RV parking and 17 minutes from downtown. Lot is zoned for legal ADU or subdivision.",0.0,47.4585792,McMicken Heights,-122.2840469,15588.0,449950,Single Family Residential,MLS Listing,1840.0,245.0,WA,Active,http://www.redfin.com/WA/SeaTac/16046-Military-Rd-S-98188/home/342445,1941.0,98188,N
21,6133 NE 187th St,1.75,3,Kenmore,4,"Single level, move-in ready home in desirable Kenmore location! Mid-century modern with natural light and lovely updates. Beautiful kitchen features cherry cabinets, SS appliances, gas range, quartz counter tops and tile back splash. Living room w/ fireplace, large dining room, 3 beds, plus office and large family room! Outdoors find deck, fully fenced yard, new retaining wall, and large shed for storage. Excellent Northshore schools and easy access to Log Boom Park/Lake Washington.",0.0,47.7647176,Kenmore,-122.2629713,8301.0,639900,Single Family Residential,MLS Listing,1660.0,385.0,WA,Active,http://www.redfin.com/WA/Kenmore/6133-NE-187th-St-98028/home/95228,1955.0,98028,N
22,4103 Fremont Ave N,1.0,3,Seattle,4,"Vibrant Craftsman perched between bustling Fremont & stately Woodland Park. This beauty retains charming era finishes: petite front porch, hardwoods, arched doorway delineating formal dining rm, + original fireplace flanked by updated built-ins. Foodie-friendly kitchen & cozy rear sunroom. 2 beds on main, 1 bed plus walk-in closet/ flex space upstairs. Previous owner prepped for master suite/ additional bath upstairs –all you need to do is dormer & continue the dream. LR1 zoning adds potential.",0.0,47.6568249,Fremont,-122.3502768,4000.0,999000,Single Family Residential,MLS Listing,1890.0,529.0,WA,Active,http://www.redfin.com/WA/Seattle/4103-Fremont-Ave-N-98103/home/303863,1919.0,98103,N
23,4620 S 122nd St,1.0,3,Tukwila,4,"This meticulously and completely remodeled 3-bedroom home is located in up & coming Allentown, mere minutes from the Duwamish River. Inside you'll find updated doors, trim, walls, bathroom tiles & fixtures, along with new countertops & stainless steel appliances in the well laid out kitchen. Enjoy the multitude of amenities this area has to offer including easy access to the 509, 99, airport, I-5 and Light Rail. Large backyard is ready for your designs. This home is move-in ready, come take a look!",0.0,47.4944555,Allentown,-122.2753134,7260.0,349950,Single Family Residential,MLS Listing,1050.0,333.0,WA,Active,http://www.redfin.com/WA/Tukwila/4620-S-122nd-St-98178/home/188245,1948.0,98178,N
24,6068 4th Ave NE,2.5,4,Seattle,4,"Pride in ownership is apparent in this Craftsman-style home w/ front sitting porch. Just 3 steps up from the spacious driveway & beautiful bamboo floors welcome you into an open concept living/dining rm. Upstairs find spacious master suite + 3 more beds. Custom tiled back patio leads to an inspired playhouse in an established NW/ Asian influenced garden. Corner lot affords privacy & parking in addition to 2 car garage. Close to Green Lake & I-5, & future Lt Rail. Perfectly practical in every way!",0.0,47.6742013,Green Lake,-122.3241082,6000.0,875000,Single Family Residential,MLS Listing,1700.0,515.0,WA,Active,http://www.redfin.com/WA/Seattle/6068-4th-Ave-NE-98115/home/304890,1990.0,98115,N
25,11232 NE 141st Place,2.25,3,Kirkland,4,"Delight in this wonderfully remodeled 3Bed 3Bath, 1,890 sq. ft. home with desirable Great Room that flows seamlessly into the stunning kitchen/dining area perfect for entertaining! You'll adore the designer reclaimed wood used on the fireplace. Lower level you'll find an elegant huge rec room with fireplace & room for an office in addition to a large combo laundry rm & bath. Enjoy the level, peaceful, private fenced backyard surrounded by gorgeous trees. Welcome home!",0.0,47.7292861,Kirkland,-122.191068,6100.0,694900,Single Family Residential,MLS Listing,1890.0,368.0,WA,Active,http://www.redfin.com/WA/Kirkland/11232-NE-141st-Pl-98034/home/456774,1977.0,98034,N
26,4264 213th Place SE #11,2.25,3,Issaquah,4,"Welcome home to this modern & sophisticated residence with mountain and lake views. Island kitchen featuring slab quartz counters, ""Abodian"" cabinets, hardwood floors & stairs, custom tile, metal railings. 3 bedrooms + 2.25 baths. Spacious master suite w/ vaulted ceiling, large walk in closet, tile counters, floors, private deck. Big 2 car tandem garage. Gorgeous kitchen, nice deck! Private fully fenced back yard space with entertainment sized patio. Great location just minutes to 1-90.",278.0,47.5691402,East Lake Sammamish,-122.0554114,,674995,Townhouse,MLS Listing,1832.0,368.0,WA,Active,http://www.redfin.com/WA/Issaquah/4264-213th-Pl-SE-98029/unit-11/home/144392789,2015.0,98029,N
27,22219 39th Place S Unit 20-1,2.5,4,Kent,4,"Gorgeous home in The Summit in Riverview gated community! This 4 bedroom, 2.5 bath home has views of Cascades and backs to greenbelt for tons of privacy. The main level has a bright open plan with 9ft ceilings. Kitchen offers white cabinets, solid surface countertops, SS appliances and eating bar. Bonus room/4th bedroom on lower level. Master bedroom w/ en suite & large walk-in closet. Convenient location close to all the amenities & freeway access. This home is a must see!!",470.0,47.4022383,Riverview,-122.2840389,311750.0,374900,Townhouse,MLS Listing,1887.0,199.0,WA,Active,http://www.redfin.com/WA/Kent/22219-39th-Pl-S-98032/unit-20-1/home/47368,2000.0,98032,N
28,18221 42nd Dr SE,2.75,5,Bothell,4,"Be amazed at the space & attention to detail given to this home from the moment you arrive. Show stopper soaring entry w/ overlooking upstairs balcony. Gleaming wood floors lead past bdrm & adjacent ba, on to dining area & great rm. Kitchen offers space to gather & create meals on granite slab island, wall oven or gas range. Kitchen opens to dining space & large family rm w/ gas fp. Rear yd for BBQ & open space. Upstairs are 3 guest rms, home theater & owner's retreat w/ spa like en suite bath.",35.0,47.8321029,Bothell,-122.1758999,4500.0,775000,Single Family Residential,MLS Listing,2724.0,285.0,WA,Active,http://www.redfin.com/WA/Bothell/18221-42nd-Dr-SE-98012/home/55518754,2014.0,98012,N
29,4547 8th Ave NE #311,1.0,1,Seattle,4,"Opportunity knocks! 1 bed unit in Duncan Place’s coveted 11 stack. Gorgeous floor to ceiling windows & private deck give the unit a sleek modern feel. Bright & sunny w/ open concept kitchen & center island -perfect for entertaining. Upgrades: new flooring, recessed lighting, designer blinds, & fresh paint. In unit laundry & secure parking. Building amenities: roof deck w/ amazing views, secure access & storage unit. EZ commute by bus or future LT Rail. No rental cap & low dues = great investment.",411.0,47.6628143,University District,-122.3199182,16772.0,525000,Condo/Co-op,MLS Listing,604.0,869.0,WA,Active,http://www.redfin.com/WA/Seattle/4547-8th-Ave-NE-98105/unit-311/home/21882420,2008.0,98105,N
30,24337 NE 101st Ct,2.5,3,Redmond,4,"Gorgeous 3 bedroom home located on quiet cul-de-sac in Redmond Ridge East! This pristine beauty features spacious floor plan & stunning upgrades throughout: w/ hardwoods, 3 inch mill work, two panel doors, incredible kitchen w/ SS appliances, custom pantry, w/ tons of cabinets and counter space. 2 bedrooms upstairs + lovely master suite & bonus loft. Large backyard w/ extended patio backs to protected greenbelt. Top rated schools. ARCH property ($124,080 annual income limit first 90 days).",75.0,47.6877932,Redmond Ridge,-122.015265,4045.0,457835,Single Family Residential,MLS Listing,1720.0,266.0,WA,Active,http://www.redfin.com/WA/Redmond/24337-NE-101st-Ct-98053/home/28582217,2010.0,98053,N
31,4426 147th Place NE Unit A9,1.75,2,Bellevue,4,"This gorgeous 2 bedroom 1.75 bath condo in Racquet Club Estates features updated kitchen and baths, new windows, vaulted ceilings with lots of natural light, fireplace, open living/dining room areas with breakfast bar, large master suite with newer dual sink vanity and incls an in unit washer/dryer. The exterior inlcs a great balcony off the dining area for entertaining. All of this located just minutes from Microsoft, restaurants, shopping and freeway access plus No Rental Cap!",447.0,47.649899100000006,Microsoft,-122.1435564,425059.0,440000,Condo/Co-op,MLS Listing,1051.0,419.0,WA,Active,http://www.redfin.com/WA/Bellevue/4426-147th-Pl-NE-98007/unit-A9/home/10403,1980.0,98007,N
32,1711 216th St SW,1.5,3,Lynnwood,4,"Situated in quiet cul-de-sac sits this beautiful 3bd/1.5ba rambler nestled on 1/4 acre lot bursting with charm. Surrounded by mature landscaping enjoy growing veggies in raised garden beds, fully fenced backyard & covered brick patio for entertaining. Hardwood floors, cozy wood burning fireplace, open kitchen looks out over living areas. Sliding door opens to private backyard w/ large shop. Attached 1 car garage. Room for RV & boat parking! This home has it all! Just minutes from Alderwood mall",0.0,47.8026915,Alderwood,-122.2564811,10454.0,425000,Single Family Residential,MLS Listing,1248.0,341.0,WA,Active,http://www.redfin.com/WA/Lynnwood/1711-216th-St-SW-98036/home/2676227,1965.0,98036,N
33,919 SW 122nd St,2.75,4,Burien,4,"Luxurious custom built home with artistic finishes on corner lot with lots of privacy. Bright and airy layout including open living/dining area, cathedral ceilings and grand staircase on entry. Welcome as many guests over as you would like with this spacious kitchen featuring granite counters and both formal and informal dining areas. Upstairs features a master suite with sitting room and a beautiful master bath. All this and a private back yard with 3 west facing decks.",0.0,47.4937434,North Burien,-122.3470959,6854.0,674995,Single Family Residential,MLS Listing,3120.0,216.0,WA,Active,http://www.redfin.com/WA/Seattle/919-SW-122nd-St-98146/home/181867,2001.0,98146,N
34,11600 100th Ave NE Unit A11,1.75,2,Kirkland,4,"Ideally located beautifully updated VIEW 2Bed 2Bath 1,473 sq. ft. condo with lots of natural light throughout and private 1 car garage. Updated kitchen flows seamlessly into the living room with stunning high vaulted ceilings, fireplace, hardwood floors, covered balcony & a gorgeous view of Lake WA. 2nd Bed w/ attached full bath. Master features bay windows, vaulted ceilings & dual closets. Short stroll to Juanita Beach & Juanita Village for recreation, restaurants, & shopping. No Rental Cap!",390.0,47.7043363,Juanita,-122.2072246,44404.0,495000,Condo/Co-op,MLS Listing,1473.0,336.0,WA,Active,http://www.redfin.com/WA/Kirkland/11600-100th-Ave-NE-98034/unit-A11/home/34682,1982.0,98034,N
35,26212 44th Place S,2.0,5,Kent,4,"Natural light filled home w/ 3 bedrooms & full bath on main floor! Family rm w/ vaulted ceilings, bay window & wd burning fireplace; kitchen w/ honey oak cabinets, Corian counters, walk in pantry & SS appliances. Remodeled bath, new carpet, fresh interior paint & newer windows. Upper level master suite w/ double closets share a Jack & Jill bath w/ guest bedroom. Huge backyard w/ stamped concrete patio, outbuilding, & tons of room for gardening or ? Perfect location minutes to Hwy 167 & Lake Fenwick!",0.0,47.3663126,Lake Fenwick,-122.27733700000002,7658.0,399950,Single Family Residential,MLS Listing,1670.0,239.0,WA,Active,http://www.redfin.com/WA/Kent/26212-44th-Pl-S-98032/home/206296,1978.0,98032,N
36,1631 16th Ave #101,1.0,1,Seattle,4,"Situated in an ideal Capitol Hill location, which offers great walkability, this gorgeous one bedroom plus den is the epitome of charming. Aptly named, “Garden Court, ” this 1929 brick building encompasses charm w/ period details, a gorgeous courtyard, a back deck and its own yard! The unit itself combines old world charm w/ modern conveniences such as an updated kitchen w/ quartz counters & SS appliances. Freshly painted, refinished hardwoods, & wood wrapped windows and doors lend to its appeal.",383.0,47.6160287,Seattle,-122.3118068,28841.0,462500,Condo/Co-op,MLS Listing,799.0,579.0,WA,Active,http://www.redfin.com/WA/Seattle/1631-16th-Ave-98122/unit-101/home/2093165,1929.0,98122,N
37,17240 33rd Ave S,2.5,5,SeaTac,4,"Spacious 5Br/2.5Ba just minutes from light rail w/ 3 bedrooms, living room & 1 bath on front & 2 bedrooms, large family room, and 1.5 bath on the backside of the house. Warm and inviting hardwood floors throughout, roof is 9 years old, triple pane windows and whole house weatherization package completed in 2014 including installing new insulation in every wall of the house, attic, and under the hardwood floors. LG Air Conditioner with Heating & Cooling installed & oversized detached garage.",0.0,47.4483338,McMicken Heights,-122.2901652,8700.0,399995,Single Family Residential,MLS Listing,1730.0,231.0,WA,Active,http://www.redfin.com/WA/SeaTac/17240-33rd-Ave-S-98188/home/342458,1943.0,98188,N
38,1117 21st Ave S,1.5,3,Seattle,4,"Newly remodeled home is conveniently located on a tranquil street near multiple parks & play fields. New oak hardwoods, carpet in bedrooms, tile in bathrooms & fresh paint throughout. New lighting, fixtures, & solid fir front/back doors w/ bronze hardware. Kitchen is open to dining/living space & features brand new stainless appliances; Bosch dishwasher, professional hood, Fisher & Paykel fridge, and Samsung range. Huge west facing deck, great for watching sunsets. This one won't disappoint!!",0.0,47.592517,Judkins,-122.3053999,4848.0,758000,Single Family Residential,MLS Listing,1500.0,505.0,WA,Active,http://www.redfin.com/WA/Seattle/1117-21st-Ave-S-98144/home/145523,1998.0,98144,N
39,15519 8th Ave W,2.5,4,Lynnwood,4,"Stately Craftsman home w/ high-end finishes throughout that feels like new! Spacious chef's kitchen boasts granite counters, large island, ss appliances, & custom cabinetry. Living space includes large windows for natural light & manufactured stone fp. This gem also features a formal dining room, office/den, & rec room. Master retreat w/ luxurious 5 piece ensuite bath & large walk-in closet. Fully fenced backyard offers covered patio & garden space. Min from shopping, parks, & easy access to I-5.",0.0,47.8572222,Martha Lake,-122.2451007,6019.0,755000,Single Family Residential,MLS Listing,3224.0,234.0,WA,Active,http://www.redfin.com/WA/Lynnwood/15519-8th-Ave-W-98087/home/104210385,2016.0,98087,N
40,26805 118th Ct SE,2.5,4,Kent,5,"Beautiful Home w/ Cascade Views! Just like NEW – enjoy soaring ceilings, light-filled house with large white kitchen, quartz countertops, SS Appliances. Updated bathrooms, new carpet, paint & light fixtures. New roof and water heater too! Huge master BR w/ 5 piece BA, sitting room, and WIC. Formal living & dining room. Corner lot w/ great curb appeal and 2 decks …perfect for outdoor entertainment. Oversized garage. This has everything you’ve been looking for…a must see!!",0.0,47.361499,East Hill,-122.1845256,5977.0,499990,Single Family Residential,MLS Listing,2870.0,174.0,WA,Active,http://www.redfin.com/WA/Kent/26805-118th-Ct-SE-98030/home/402543,1999.0,98030,N
41,1228 S 273rd Place,2.5,4,Des Moines,5,"This meticulously maintained home is drenched in sunlight from its floor to ceiling windows & balcony views and is just mins from the water. With 4 bedrooms, 2.5 bathrooms, massive bonus room w/ abundant storage, this home is ready for all your needs. Master Bedroom features a gorgeous 5-piece bathroom and huge walk-in closet. Kitchen has granite countertops, tile backsplash, floors & stainless steel appliances all directly adjacent to the formal dining room. Move-in ready, all appliances stay!",0.0,47.3576864,Des Moines,-122.3174801,7707.0,780000,Single Family Residential,MLS Listing,2960.0,264.0,WA,Active,http://www.redfin.com/WA/Des-Moines/1228-S-273rd-Pl-98198/home/22229002,2015.0,98198,N
