,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE/SQUAREFT,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,DESC,LABEL
10,1,,Townhouse,4218 156th St SW Unit 7D,Lynnwood,WA,98087,239000.0,2,1.5,Alderwood,1086.0,,1977.0,7.0,220.0,255.0,Active,,,http://www.redfin.com/WA/Lynnwood/4218-156th-St-SW-98087/unit-7D/home/2780485,NWMLS,1287526,N,Y,47.857193200000005,-122.29116850000001,"Updated Stylish Corner Unit Townhome with Beautiful Hardwood floors & crown molding throughout, granite countertops and stainless steel appliances in the kitchen. Nice patio in back overlooking serene backyard with room to bbq with storage. Spacious master suite with ample closet space with private deck with views of the Olympic Mountains and beautiful sunsets. Elegant shared master bathroom with Italian porcelain tiles & granite countertops. 2 reserved parking spots & ez access to freeways.",0
11,1,,Single Family Residential,14524 37th Ave W #12,Lynnwood,WA,98087,609950.0,3,2.5,Lake Stickney,2001.0,3281.0,2018.0,8.0,305.0,65.0,Active,,,http://www.redfin.com/WA/Lynnwood/14524-37th-Ave-W-98087/unit-12/home/145579377,NWMLS,1287434,N,Y,47.873488200000004,-122.2840121,"We are excited to introduce Lake Crest Estates by Cornerstone Homes. This 2001 sqft home has 3 bdrm, nice loft, 2.5baths. Features include quartz countertops with tile backsplash, beautiful white millwork & doors, stainless steel appliances, iron railing accents, gorgeous engineered hardwood in entry, great room and kitchen, Wi-Fi connected climate control. Exterior designs are highlighted by stylish front entry and garage doors. Patio/Decks add additional outdoor living space for you to enjoy.",0
12,1,,Single Family Residential,919 153rd Place SW,Lynnwood,WA,98087,575000.0,4,2.5,Martha Lake,2306.0,16553.0,1980.0,8.0,249.0,,Active,,,http://www.redfin.com/WA/Lynnwood/919-153rd-St-SW-98087/home/2786365,NWMLS,1283466,N,Y,47.8595364,-122.2460946,"Super sweet Martha Lake home on a corner 1/3 + acre level landscaped lot. Open concept main floor living area with hardwood flooring throughout. Totally remodeled kitchen with granite counters and stainless steel appliances, including microwave/oven and Viking gas cook top. 3 bedrooms and 2 baths located on the main floor including a master suite. Lower level has a oversized family room with a cozy gas fireplace, plus another bedroom and bath. Double car attached garage for security.",0
13,1,,Single Family Residential,1301 N Lake Stickney Dr,Lynnwood,WA,98087,649950.0,5,3.5,Lake Stickney,3200.0,34412.0,1980.0,11.0,203.0,,Active,May-19-2018 12:00 AM,May-19-2018 11:59 PM,http://www.redfin.com/WA/Lynnwood/1301-N-Lake-Stickney-Dr-98087/home/2709942,NWMLS,1284902,N,Y,47.875784,-122.24989599999999,"Privacy Galore in this Gorgeous 5 bd 3.5 bth Home on 3/4 Acre! Main floor has Formal and informal living areas plus Huge mast bed with 5 pc mast bth, guest bd, 2 lofts, and 1.5 more bth rms! Possible MIL on lower level with complete kitchen, 2nd laundry, 3 lg bed, lg family rm, & sep entrance! Storage shop area off entry is a mans dream with 2nd entrance to garage! Brand new storage shed in Tree lined manicured Yard is almost completely fence w/ several choices 4 RV’s, picnics & outdoor parties!",0
14,1,,Single Family Residential,4117 Shelby Rd,Lynnwood,WA,98087,1150000.0,4,2.5,Lake Serene,2400.0,15256.0,1983.0,12.0,479.0,,Active,,,http://www.redfin.com/WA/Lynnwood/4117-Shelby-Rd-98087/home/2744853,NWMLS,1284248,N,Y,47.8694454,-122.289298,"Stunning Waterfront Property! Enjoy all water sports on Lake Serene. This property offers 70' of private waterfront, a dock plus party barge, and beautiful landscaping that surrounds the well appointed 4 bedroom home. The home gleams with natural light, inlaid hardwood floors, unique accent windows; the master bedroom features a gas fireplace, heated tile in the bath and slider to the hot tub. The oversized 3-car garage offers work bench. Location provides easy access to all commutes. RV Prkg.",0
15,1,,Multi-Family (2-4 Unit),4020 Shelby Rd,Lynnwood,WA,98087,750000.0,6,5.0,Lake Serene,3046.0,12632.0,2001.0,12.0,246.0,,Active,,,http://www.redfin.com/WA/Lynnwood/4020-Shelby-Rd-98087/home/145554779,NWMLS,1283425,N,Y,47.8676656,-122.2885285,"Rare investment opportunity located in lake serene area. Built in 2001 this well-maintained turn key duplex has 3 beds and 2.5 baths, large two car garages, outdoor patios, large yards and in unit laundry. All utilities are paid by tenants. Great location with easy access to 405 and I-5, Boeing and schools. Units have been consistently rented out and are currently fully occupied with long term tenants. Under market rents with great potential!",0
16,1,,Mobile/Manufactured Home,415 Lakeview Rd Unit K15,Lynnwood,WA,98087,85000.0,2,2.0,Martha Lake,1072.0,615108.0,1990.0,12.0,79.0,,Active,,,http://www.redfin.com/WA/Lynnwood/415-Lakeview-Rd-98087/unit-K15/home/2876436,NWMLS,1283985,N,Y,47.8595598,-122.2391594,"This well kept mobile home located in an all age mobile park is the one to see. With its cathedral ceilings, open floor plan and new carpet, laminate flooring and new windows it tops the market. It also has a spacious master with a full bath. Positioned on a corner lot with easy access it has a large deck, fenced yard, and a shed.",0
17,1,,Single Family Residential,14804 Larch Wy,Lynnwood,WA,98087,500000.0,3,1.0,Martha Lake,1279.0,37462.0,1957.0,12.0,391.0,,Active,,,http://www.redfin.com/WA/Lynnwood/14804-Larch-Way-98087/home/2656278,NWMLS,1283501,N,Y,47.864195,-122.24034099999999,"This fully remodeled home in the Martha Lake area of Lynnwood features 3 bedrooms & 1 bath on a dead end street. The home comes with a metal roof & vinyl siding. The large lot the home is on has a ton of potential! Zoned R7200 in a ULDR area. There is a potential 4-5 lots! Build or enjoy a large yard! Sewer is stubbed to the front of the driveway, power and water on lot.",0
18,1,,Single Family Residential,3510 Serene Wy,Lynnwood,WA,98087,850000.0,3,1.5,Lake Serene,1744.0,43124.0,1935.0,13.0,487.0,,Active,,,http://www.redfin.com/WA/Lynnwood/3510-Serene-Way-98087/home/2744965,NWMLS,1283495,N,Y,47.8701026,-122.281186,"Rare offering of Tranquil Lake Serene 300 feet of Waterfront situated on a beautifully landscaped shy acre lot. Updated Cape Cod offers classic charm, lake views & spectacular sunsets! Original preserved hardwoods in dining room, sunny kitchen & spacious family room with stone fireplace. 3 spacious bedrooms. Just shy of 800 sq ft of decking & an expansive brick patio offers the best of outdoor entertaining. Boat house & dock with lakeside seating. Boat, fish, swim! Life is better on the lake!",0
19,1,,Townhouse,15720 Meadow(C5) Rd #1012,Lynnwood,WA,98037,449995.0,2,2.5,Martha Lake,1412.0,1296.0,2018.0,13.0,319.0,141.0,Active,,,http://www.redfin.com/WA/Lynnwood/15720-Meadows-C5-Rd-98037/unit-1012/home/145549666,NWMLS,1284294,N,Y,47.855333,-122.25023600000002,"Crescent View welcomes you home! Pacific Ridge Homes newest community features spacious open concept kitchen/dining/living room. The ""Avery"" Plan offers two master suites on the upper floor! 2 car tandem garage for extra storage, workout space, workbench or that additional car! Attention to detail in every PRH home-Quartz counter tops, luxury laminate hardwood flooring , tile, all appliances included and more! Easy access 405/I-5/Park & Ride. Convenient to shopping & dining.",0
20,1,,Townhouse,15720 Meadow (C4) Rd #1011,Lynnwood,WA,98037,479995.0,3,3.0,Martha Lake,1647.0,1377.0,2018.0,13.0,291.0,141.0,Active,,,http://www.redfin.com/WA/Lynnwood/15720-Meadows-C4-Rd-98037/unit-1011/home/145549646,NWMLS,1284265,N,Y,47.855333,-122.25023600000002,"Crescent View welcomes you home! Pacific Ridge Homes newest community features spacious open concept kitchen/dining/ living room. The ""Colin"" Plan offers a main level additional bedroom & full bathroom. 2 car tandem garage for extra storage, workout space, workbench or that additional car! Attention to detail in every PRH home-Quartz counter tops, luxury laminate hardwood flooring , tile, all appliances included and more! Easy access 405/I-5/Park & Ride. Convenient to shopping & dining.",0
21,1,,Townhouse,16201 Meadow (E4) Rd #23,Lynnwood,WA,98087,517995.0,3,2.5,Martha Lake,1937.0,1899.0,2018.0,13.0,267.0,201.0,Active,,,http://www.redfin.com/WA/Lynnwood/16201-Meadows-E4-Rd-98087/unit-23/home/145549593,NWMLS,1284316,N,Y,47.851521999999996,-122.251201,"Meadows Edge welcomes you home! Pacific Ridge Homes newest community features lower level family room, main floor open concept kitchen/dining/living room with powder bath. The ""Brady"" plan offers a Master Suite & 2 additional bedrooms and full bathroom. Attention to detail in every PRH home-Quartz counter tops, luxury laminate hardwood flooring , tile, all appliances included, two car garage and more! Commuters dream with easy access 405/I-5/Park & Ride. Convenient to shopping & dining.",0
22,1,,Townhouse,16201 Meadow (E3) Rd #24,Lynnwood,WA,98087,447995.0,2,2.5,Martha Lake,1408.0,2018.0,2018.0,13.0,318.0,201.0,Active,,,http://www.redfin.com/WA/Lynnwood/16201-Meadow-Rd-98087/unit-24/home/145549592,NWMLS,1284322,N,Y,47.851574299999996,-122.2511908,"Meadows Edge welcomes you home! Pacific Ridge Homes newest community features main floor open concept kitchen/dining/living room with powder bath. The ""Austin"" Plan offers a Two car tandem garage for extra storage, workout space, workbench or that additional car! Attention to detail in every PRH home-Quartz counter tops, luxury laminate hardwood flooring, tile, all appliances included, two car garage & more! Commuters dream with easy access 405/I-5/Park & Ride. Convenient to shopping & dining.",0
23,1,,Townhouse,16201 Meadow (E2) Rd #25,Lynnwood,WA,98087,447995.0,2,2.5,Martha Lake,1407.0,2018.0,2018.0,13.0,318.0,201.0,Active,,,http://www.redfin.com/WA/Lynnwood/16201-Meadow-Rd-98087/unit-25/home/145549549,NWMLS,1284328,N,Y,47.851574299999996,-122.2511908,"Meadows Edge welcomes you home! Pacific Ridge Homes newest community features main floor open concept kitchen/dining/living room with powder bath. The ""Austin"" Plan offers a Two car tandem garage for extra storage, workout space, workbench or that additional car! Attention to detail in every PRH home-Quartz counter tops, luxury laminate hardwood flooring, tile, all appliances included, two car garage & more! Commuters dream with easy access 405/I-5/Park & Ride. Convenient to shopping & dining.",0
24,1,,Single Family Residential,1625 151 Place SW,Lynnwood,WA,98087,660000.0,4,2.75,Lake Stickney,2726.0,8276.0,2002.0,13.0,242.0,7.0,Active,,,http://www.redfin.com/WA/Lynnwood/1625-151st-Pl-SW-98087/home/2892749,NWMLS,1284461,N,Y,47.8606979,-122.2560222,"Well designed home in beautiful cul-de-sac neighborhood. Beautiful Living room and Dining room with high end designer window coverings, huge kitchen with big cooking island, family room off kitchen, den with french door, Master with 5 piece bathroom, three other bedroom. Elegant stairway to landing that overlooks the living room and entry. Covered patio for the BBQ and large tool shed for the garden. Three car garage",0
25,1,,Single Family Residential,14513 37th Ave W #2,Lynnwood,WA,98087,629950.0,5,2.75,Lake Stickney,2104.0,3781.0,2018.0,15.0,299.0,65.0,Active,,,http://www.redfin.com/WA/Lynnwood/14513-37th-Ave-W-98087/unit-2/home/145448463,NWMLS,1283181,N,Y,47.873488200000004,-122.2840121,"We are excited to introduce Lake Crest Estates by Cornerstone Homes. This 2104 sqft home has 5 bdrm, 2.75 ba. Features include quartz countertops with tile backsplash, beautiful white millwork & doors, stainless steel appliances, iron railing accents, gorgeous engineered hardwood in entry, great room and kitchen, Wi-Fi connected climate control. Exterior designs are highlighted by stylish front entry and garage doors. Patio/Decks add additional outdoor living space for you to enjoy.",0
26,1,,Townhouse,16201 Meadow (E1) Rd #26,Lynnwood,WA,98087,514995.0,3,2.5,Martha Lake,1937.0,1899.0,2018.0,19.0,266.0,201.0,Active,,,http://www.redfin.com/WA/Lynnwood/16201-Meadows-E1-Rd-98087/unit-26/home/145513013,NWMLS,1279097,N,Y,47.851521999999996,-122.251201,"Meadows Edge welcomes you home! Pacific Ridge Homes newest community features lower level family room, main floor open concept kitchen/dining/living room with powder bath. The ""Brady"" plan offers a Master Suite & 2 additional bedrooms and full bathroom. Attention to detail in every PRH home-Quartz counter tops, luxury laminate hardwood flooring , tile, all appliances included, two car garage and more! Commuters dream with easy access 405/I-5/Park & Ride. Convenient to shopping & dining.",0
27,1,,Townhouse,16201 Meadow (C2) Rd #28,Lynnwood,WA,98037,439995.0,2,2.5,Martha Lake,1403.0,2018.0,2018.0,19.0,314.0,201.0,Active,,,http://www.redfin.com/WA/Lynnwood/16201-Meadows-C2-Rd-98037/unit-28/home/145513012,NWMLS,1280510,N,Y,47.851521999999996,-122.251201,"Meadows Edge welcomes you home! Pacific Ridge Homes newest community features main floor open concept kitchen/dining/living room with powder bath. The ""Austin"" Plan offers a Two car tandem garage for extra storage, workout space, workbench or that additional car! Attention to detail in every PRH home-Quartz counter tops, luxury laminate hardwood flooring, tile, all appliances included, two car garage & more! Commuters dream with easy access 405/I-5/Park & Ride. Convenient to shopping & dining.",0
28,1,,Single Family Residential,14316 5th Ave W,Lynnwood,WA,98087,595000.0,4,3.0,Martha Lake,2023.0,8302.0,2010.0,24.0,294.0,,Active,,,http://www.redfin.com/WA/Lynnwood/14316-5th-Ave-W-98087/home/17511399,NWMLS,1278175,N,Y,47.8673987,-122.240496,"Amazing 4 Bedroom and 3 Bathroom split level home minutes from freeway access! Spacious fully fenced back/side yard, Cement planked siding, Deck off kitchen, Slab granite counter tops in kitchen with island which opens to a great sized living room and fireplace, Central A/C, Tucked away at the end of a CUL-DE-SAC with extra parking. Great for entertaining and additional MIL unit already prepped w/ second kitchen. A must see.",0
29,1,,Single Family Residential,2520 144th Place SW,Lynnwood,WA,98037,535000.0,3,2.5,Lynnwood,1992.0,4792.0,2001.0,25.0,269.0,33.0,Active,,,http://www.redfin.com/WA/Lynnwood/2520-144th-Pl-SW-98087/home/2890634,NWMLS,1277671,N,Y,47.8668343,-122.2674963,"Exceptional home! A covered front porch leads to an open great rm w/ gas frpl, kit w/ quartz counters, tile bksplash, undermnt sink, pantry, eating bar & dining area. Upstairs shows a loft for office/media ctr, a grand master suite w/ vaulted ceilings, W. I. closet & beautiful master bath, 2 spacious extra bdrms & laundry rm. Better than new - upgrades incl Hardwood flrs thruout & more. In a quiet Cul-de-sac, near park n ride, 405 & I-5, schools & shops.",0
30,1,,Condo/Co-op,1920 SW 148th Place,Lynnwood,WA,98087,549000.0,4,3.0,Halls Lake,1856.0,3600.0,2017.0,32.0,296.0,55.0,Active,,,http://www.redfin.com/WA/Lynnwood/1920-148th-Pl-SW-98087/home/145312243,NWMLS,1274091,N,Y,47.8635104,-122.2613284,"Brand new home built by Cornerstone Homes, never live in, seller's work relocated, building construction completed March 2018, detached condominium/single family type, 4 bedrooms 3 bath, huge family room and one bedroom one bath in lower level, Quartz SS appliance in kitchen, professional landscaped back yard, attached 2-car garage, tankless water heater, excellent location close to everything, must see to appreciate.",0
31,1,,Townhouse,16201 Meadow (A2) Rd #31,Lynnwood,WA,98087,439995.0,2,2.5,Martha Lake,1403.0,2018.0,2018.0,33.0,314.0,201.0,Active,,,http://www.redfin.com/WA/Lynnwood/16201-Meadows-A2-Rd-98087/unit-31/home/145309618,NWMLS,1273359,N,Y,47.851521999999996,-122.251201,"Meadows Edge welcomes you home! Pacific Ridge Homes newest community features main floor open concept kitchen/dining/living room with powder bath. The ""Austin"" Plan offers a Two car tandem garage for extra storage, workout space, workbench or that additional car! Attention to detail in every PRH home-Quartz counter tops, luxury laminate hardwood flooring, tile, all appliances included, two car garage & more! Commuters dream with easy access 405/I-5/Park & Ride. Convenient to shopping & dining.",0
32,1,,Townhouse,15720 Meadow (A6) Rd #1006,Lynnwood,WA,98037,444995.0,2,2.5,Martha Lake,1483.0,1377.0,2018.0,33.0,300.0,141.0,Active,,,http://www.redfin.com/WA/Lynnwood/15720-Meadows-A6-Rd-98037/unit-1006/home/145309609,NWMLS,1273326,N,Y,47.855333,-122.25023600000002,"Crescent View welcomes you home! Pacific Ridge Homes newest community features spacious open concept kitchen/dining/living room. The ""Bristol"" Plan offers a Master Suite, large additional bedroom & full bathroom. 2 car tandem garage w/ extra storage, workout space, workbench or that additional car! Attention to detail in every PRH home-Quartz counter tops, luxury laminate hardwood flooring , tile, all appliances included and more! Easy access 405/I-5/Park & Ride. Convenient to shopping & dining.",0
33,1,,Townhouse,16021 Manor Way  E-3,Lynnwood,WA,98087,464950.0,2,2.25,Alderwood,1490.0,1260.0,2018.0,34.0,312.0,128.0,Active,May-19-2018 12:00 PM,May-19-2018 05:00 PM,http://www.redfin.com/WA/Lynnwood/16021-Manor-Way-98087/home/144748220,NWMLS,1272674,N,Y,47.852661499999996,-122.2716347,"The ""Florence"" built to last a life time by Sea Pac Homes. This stunning new home has an open Kitchen/Dining room/Great room concept on the main with lg windows & 9' ceilings. Attention to every detail goes into this beauty with Quartz counters throughout, gorgeous flooring, rich cabinetry, SS appliances & Cozy Amantii fireplace in the Great room! Your 2 car tandem garage has plenty of room for storage or a workbench! Stop by Manor Cottages & see what all the fuss is about!!",0
34,1,,Condo/Co-op,15415 35 Ave W Unit E205,Lynnwood,WA,98087,245950.0,2,2.0,North Lynnwood,924.0,,1989.0,35.0,266.0,370.0,Active,,,http://www.redfin.com/WA/Lynnwood/15415-35th-Ave-W-98087/unit-00E205/home/22924427,NWMLS,1269988,N,Y,47.858790899999995,-122.27804590000001,"Spacious & bright this gorgeous place offers 2 bed & 2 full bath is located in the heart of the growing neighborhood. Desirable BRIO a well kept community. Newer paint & great carpet. Stainless appliances, eating area & Dining room. Open floor plan, fireplace, open living area, double pane windows, Covered balcony with large storage. 2 reserve parking, Club house, Exercise room, hot tub, pool. Full size washer dryer in unit. Close to Fwy, Shopping, Mall, best location & condition",0
35,1,,Single Family Residential,3630 146th St SW #7,Lynnwood,WA,98087,569950.0,4,2.75,Lake Stickney,1856.0,2986.0,2018.0,35.0,307.0,65.0,Active,,,http://www.redfin.com/WA/Lynnwood/3630-146th-St-SW-98087/unit-7/home/145278576,NWMLS,1271757,N,Y,47.866254,-122.28387099999999,"We are excited to introduce Lake Crest Estates by Cornerstone Homes! This 1856 sqft home has 4 bdrm, 2.75 ba. Features include Quartz countertops with tile backsplash, beautiful white millwork & doors, stainless steel appliances, iron railing accents, gorgeous engineered hardwood in entry, great room and kitchen, Wi-Fi connected climate control. Exterior designs are highlighted by stylish front entry and garage doors. Patio/Decks add additional outdoor living space for you to enjoy. Playground!",0
36,1,,Single Family Residential,15820 E Shore Dr,Lynnwood,WA,98087,869900.0,4,1.5,Martha Lake,2288.0,22651.0,1955.0,39.0,380.0,,Active,,,http://www.redfin.com/WA/Lynnwood/15820-E-Shore-Dr-98087/home/2716131,NWMLS,1270335,N,Y,47.8543705,-122.24036409999998,"A very rare opportunity to live or invest into a 0.52 Acre lot on Martha Lake. The Seller has recently remodeled this Four bedroom and 1.5 Bath lakeside home. New floor, new paint, all new appliances and fencing on exterior of home. The value is in land. Public park, shopping, and both I405/I5 are all within minutes from property.",0
37,1,,Condo/Co-op,15415 35th W Unit D204,Lynnwood,WA,98087,250000.0,2,2.0,Lynnwood,924.0,,1989.0,39.0,271.0,366.0,Active,,,http://www.redfin.com/WA/Lynnwood/15415-35th-Ave-W-98087/unit-D204/home/11881992,NWMLS,1269350,N,Y,47.858790899999995,-122.27804499999999,"2 Bedrooms, 2 Full Baths in the Brio Condo Complex. Stainless Steel kitchen. Move in ready. Large storage on deck. Complex has Clubhouse with an outdoor pool, indoor hot tub, gym, tanning bed and bbq. Close to shopping, transportation, fast access to I-5 & I-405 & park and ride.",0
38,1,,Single Family Residential,15329 2nd Ave W Unit A,Lynnwood,WA,98087,564950.0,4,2.5,Martha Lake,1962.0,2442.0,2006.0,41.0,288.0,,Active,,,http://www.redfin.com/WA/Lynnwood/15329-2nd-Ave-W-98087/unit-A/home/12334166,NWMLS,1268835,N,Y,47.8585788,-122.23572040000002,"Updated secluded home tucked away with Protected Greenbelt bordering property. Walking distance to Martha Lake and Airport Park. Stainless Appliances, Full Tile back splash, Refinished Hardwood on Main floor. Brand New Kitchen with Quartz counters, Cabinets with Soft Close Drawers. Designer Colors, and Gas Tile Fireplace. Large Master Bedroom with Master bath, Oversized Guest Bedrooms, Loft on 2nd Floor, This Unit has an extra large deck looking over huge side yard!!",0
