,PROPERTY TYPE,ADDRESS,LOCATION,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,DAYS ON MARKET,HOA/MONTH,URL
481,Single Family Residential 2018,7540 NE 203rd St Kenmore WA 98028,Kenmore,698950.0,4,2.5,186,4246,125,212.,http://www.redfin.com/WA/Kenmore/7540-NE-203rd-St-98028/home/282980
482,Single Family Residential 2018,Floorplan 3725 Kenmore WA 98028,Northshore Ridge,1149950.0,5,3.5,372,97298,156,212.,http://www.redfin.com/WA/Kenmore/Northshore-Ridge/Floorplan-3725/home/145641799
483,Single Family Residential 2018,Floorplan 3215 Kenmore WA 98028,Northshore Ridge,1024950.0,4,3.5,321,97298,156,212.,http://www.redfin.com/WA/Kenmore/Northshore-Ridge/Floorplan-3215/home/145641800
484,Single Family Residential 2018,Northshore Ridge - 3215 Kenmore WA 98028,Northshore Ridge,1024950.0,4,3.5,321,97298,156,212.,http://www.redfin.com/WA/Kenmore/Northshore-Ridge/Northshore-Ridge-3215/home/145617299
485,Single Family Residential 2018,Northshore Ridge - 3725 Kenmore WA 98028,Northshore Ridge,1149950.0,5,3.5,372,97298,156,212.,http://www.redfin.com/WA/Kenmore/Northshore-Ridge/Northshore-Ridge-3725/home/145617297
486,Single Family Residential 2018,21549 SE 290th Place Kent WA 98042,Kent,389000.0,3,2.5,238,4015,34,29.0,http://www.redfin.com/WA/Kent/21549-SE-290th-Pl-98042/home/12318128
487,Single Family Residential 2018,25417 151st Place SE Covington WA 98042,Soos Creek,349950.0,3,1,900,7544,39,212.,http://www.redfin.com/WA/Covington/25417-151st-Pl-SE-98042/home/393331
488,Single Family Residential 2018,19615 SE 260th St Covington WA 98042,Timberlane,278000.0,3,1,110,5200,39,24.0,http://www.redfin.com/WA/Covington/19615-SE-260th-St-98042/home/372762
489,Single Family Residential 2018,19939 SE 296th St Kent WA 98042,Maple Valley,530000.0,3,1.75,180,34801,40,43.0,http://www.redfin.com/WA/Kent/19939-SE-296th-St-98042/home/382385
490,Single Family Residential 2018,13323 SE 261st Place Kent WA 98042,Lake Meridian,794950.0,4,2.75,333,8063,40,15.0,http://www.redfin.com/WA/Kent/13323-SE-261st-Pl-98042/home/109661751
491,Single Family Residential 2018,18416 SE 280th St Kent WA 98042,Winterwood,535000.0,4,2.75,321,36092,40,18.0,http://www.redfin.com/WA/Kent/18416-SE-280th-St-98042/home/383421
492,Single Family Residential 2018,28201 183rd Ave SE Kent WA 98042,Winterwood,539950.0,4,3.5,305,45161,40,18.0,http://www.redfin.com/WA/Kent/28201-183rd-Ave-SE-98042/home/381835
493,Single Family Residential 2018,15210 se 296th St Kent WA 98042,Covington,451980.0,4,2.5,251,61419,41,212.,http://www.redfin.com/WA/Kent/15210-SE-296th-St-98042/home/379618
494,Condo/Co-op 2018,13729 SE 257th Ct #25 Kent WA 98042,Lake Meridian,349000.0,4,3,226,432500,41,350.,http://www.redfin.com/WA/Kent/13729-SE-257th-Ct-98042/unit-25/home/23628
495,Single Family Residential 2018,26943 168th Place SE Covington WA 98042,Covington,349000.0,3,1,101,10650,43,212.,http://www.redfin.com/WA/Covington/26943-168th-Pl-SE-98042/home/371676
496,Single Family Residential 2018,20417 SE 257 (lot 148) St Covington WA 98042,Covington,654950.0,4,3,301,7132,44,51.0,http://www.redfin.com/WA/Covington/20417-SE-257th-St-98042/home/109972159
497,Single Family Residential 2018,22529 132nd Place SE Kent WA 98042,Kent,499999.0,4,2.5,255,5172,46,40.0,http://www.redfin.com/WA/Kent/22529-132nd-Pl-SE-98042/home/8187078
498,Single Family Residential 2018,19057 SE 269th St Covington WA 98042,Timberlane,255000.0,5,1.5,125,5200,47,212.,http://www.redfin.com/WA/Covington/19057-SE-269th-St-98042/home/373055
499,Single Family Residential 2018,14315 SE 256th Place Kent WA 98042,Lake Meridian,449950.0,3,2.25,201,9679,47,212.,http://www.redfin.com/WA/Kent/14315-SE-256th-Pl-98042/home/400443
500,Single Family Residential 2018,21378 SE 289th Wy Kent WA 98042,Lake Sawyer,424950.0,4,2.5,243,6298,48,212.,http://www.redfin.com/WA/Kent/21378-SE-289th-Way-98042/home/12305350
501,Single Family Residential 2018,26024 193rd Place SE Covington WA 98042,Covington,395900.0,3,2.25,166,8857,48,212.,http://www.redfin.com/WA/Covington/26024-193rd-Pl-SE-98042/home/373680
502,Single Family Residential 2018,15433 SE 275th St Kent WA 98042,Kent,600000.0,3,2.5,168,56192,48,212.,http://www.redfin.com/WA/Kent/15433-SE-275th-St-98042/home/404697
503,Single Family Residential 2018,13216 SE 263rd Place Kent WA 98042,Kent,485000.0,5,2.5,320,6700,48,212.,http://www.redfin.com/WA/Kent/13216-SE-263rd-Pl-98042/home/399998
504,Single Family Residential 2018,26526 159th Ave SE Covington WA 98042,Covington,450000.0,3,2.5,142,59677,48,212.,http://www.redfin.com/WA/Covington/26526-159th-Ave-SE-98042/home/394129
505,Single Family Residential 2018,15624 SE 254th Place Covington WA 98042,Covington,1125000.0,3,2.5,203,85160,49,212.,http://www.redfin.com/WA/Covington/15624-SE-254th-Pl-98042/home/395446
506,Vacant Land 2018,SE 277th Street Kent WA 98042,Kent,150000.0,0,2.69,266,43560,54,212.,http://www.redfin.com/WA/Kent/SE-277th-St-98042/home/146425531
507,Townhouse 2018,25035 144th Place SE Kent WA 98042,Meridian Valley CC,299900.0,3,2.25,190,3106,54,240.,http://www.redfin.com/WA/Kent/25035-144th-Pl-SE-98042/unit-55/home/399810
508,Single Family Residential 2018,25838 201st Ave SE Covington WA 98042,Covington,400000.0,3,2.5,168,7225,55,212.,http://www.redfin.com/WA/Covington/25838-201st-Ave-SE-98042/home/368636
509,Single Family Residential 2018,27017 138th Ave SE Kent WA 98042,East Hill,379950.0,3,2.25,152,7766,55,212.,http://www.redfin.com/WA/Kent/27017-138th-Ave-SE-98042/home/399650
510,Vacant Land 2018,17908 SE Covington Sawyer Rd Kent WA 98042,Covington,174950.0,0,2.69,266,93218,56,212.,http://www.redfin.com/WA/Kent/17908-SE-Covington-Sawyer-Rd-98042/home/146415176
511,Single Family Residential 2018,17906 SE Covington Sawyer Rd Kent WA 98042,Covington,225000.0,3,1,121,92347,56,212.,http://www.redfin.com/WA/Kent/17906-SE-Covington-Sawyer-Rd-98042/home/381824
512,Single Family Residential 2018,31033 E Lake Morton Dr SE Kent WA 98042,Lake Morton,485000.0,1,0.75,450,18640,57,212.,http://www.redfin.com/WA/Kent/31033-E-Lake-Morton-Dr-SE-98042/home/382810
513,Single Family Residential 2018,17910 SE 224th St Kent WA 98042,Lake Youngs,1950000.0,4,3.75,621,420936,60,212.,http://www.redfin.com/WA/Kent/17910-SE-224th-St-98042/home/390471
514,Single Family Residential 2018,16018 SE 267th Ct Covington WA 98042,Covington,649000.0,4,2.5,332,8149,61,47.0,http://www.redfin.com/WA/Covington/16018-SE-267th-Ct-98042/home/394611
515,Single Family Residential 2018,17311 SE 288th St Kent WA 98042,Covington,674000.0,4,3,307,47916,62,212.,http://www.redfin.com/WA/Kent/17311-SE-288th-St-98042/home/382377
516,Single Family Residential 2018,18906 SE 282nd Ct Kent WA 98042,Winterwood,525000.0,4,2.75,267,39094,63,18.0,http://www.redfin.com/WA/Kent/18906-SE-282nd-Ct-98042/home/382702
517,Single Family Residential 2018,17216 SE 256th St Covington WA 98042,Covington,449950.0,5,2,455,167270,67,212.,http://www.redfin.com/WA/Covington/17216-SE-256th-St-98042/home/392910
518,Single Family Residential 2018,17515 SE 257th St Covington WA 98042,Covington,539950.0,4,2.5,283,6948,67,24.0,http://www.redfin.com/WA/Covington/17515-SE-257th-St-98042/home/392772
519,Single Family Residential 2018,23812 160th Ave SE Kent WA 98042,Lake Youngs,2338000.0,5,6.75,112,207857,68,212.,http://www.redfin.com/WA/Kent/23812-160th-Ave-SE-98042/home/393677
520,Single Family Residential 2018,24234 139th Ave SE Kent WA 98042,Meridian Valley CC,535000.0,4,2.5,279,13202,68,75.0,http://www.redfin.com/WA/Kent/24234-139th-Ave-SE-98042/home/400359
521,Single Family Residential 2018,26914 196th Ave SE Covington WA 98042,Covington,449950.0,4,2.5,216,3908,68,37.0,http://www.redfin.com/WA/Covington/26914-196th-Ave-SE-98042/home/40264398
522,Single Family Residential 2018,23231 172nd Ave SE Kent WA 98042,Lake Youngs,1100000.0,4,3,320,655142,69,212.,http://www.redfin.com/WA/Kent/23231-172nd-Ave-SE-98042/home/22507175
523,Single Family Residential 2018,16117 SE 260th St Covington WA 98042,Covington,420000.0,4,2.5,202,4958,73,38.0,http://www.redfin.com/WA/Covington/16117-SE-260th-St-98042/home/2091162
524,Mobile/Manufactured Home 2018,15232 SE 272nd St #116 Kent WA 98042,Covington,82500.0,3,1.75,165,97298,73,212.,http://www.redfin.com/WA/Kent/15232-SE-272nd-St-98042/unit-116/home/28515782
525,Single Family Residential 2018,26127 162nd Ave SE Covington WA 98042,Covington,500000.0,3,2.5,244,18674,74,27.0,http://www.redfin.com/WA/Covington/26127-162nd-Ave-SE-98042/home/394898
526,Single Family Residential 2018,26111 159th Place SE Covington WA 98042,Covington,550000.0,4,2.5,275,9366,75,31.0,http://www.redfin.com/WA/Covington/26111-159th-Pl-SE-98042/home/394896
527,Single Family Residential 2018,25034 180th Ave SE Covington WA 98042,Covington,529900.0,3,2.5,253,46173,76,212.,http://www.redfin.com/WA/Covington/25034-180th-Ave-SE-98042/home/394836
528,Single Family Residential 2018,26721 178th Lp SE Covington WA 98042,Covington,480000.0,3,2.5,200,3600,77,35.0,http://www.redfin.com/WA/Kent/26721-178th-Loop-SE-98042/home/18660485
529,Single Family Residential 2018,25806 205th Place SE Covington WA 98042,Covington,674990.0,4,2.5,270,6000,81,48.0,http://www.redfin.com/WA/Covington/25806-205th-Pl-SE-98042/home/109661331
530,Single Family Residential 2018,17845 SE 224th St Kent WA 98042,Lake Youngs,675000.0,5,2,312,424274,82,212.,http://www.redfin.com/WA/Kent/17845-SE-224th-St-98042/home/392833
531,Single Family Residential 2018,25808 207th (Lot 94) Place SE Covington WA 98042,Covington,674950.0,5,3.5,412,7731,84,50.0,http://www.redfin.com/WA/Covington/25808-207th-Pl-SE-98042/home/109969493
532,Single Family Residential 2018,20722 256th (Lot 104) St SE Covington WA 98042,Covington,699950.0,5,3.5,412,8058,84,50.0,http://www.redfin.com/WA/Covington/20722-256th-Lot-104-St-SE-98042/home/146110869
533,Single Family Residential 2018,25807 207th (Lot 115) Place SE Covington WA 98042,Covington,599950.0,4,3,301,5000,88,50.0,http://www.redfin.com/WA/Covington/25807-207th-Lot-115-Pl-SE-98042/home/146089928
534,Single Family Residential 2018,224012 139th Place SE Kent WA 98042,Soos Creek,839000.0,4,2.5,284,5499,88,132.,http://www.redfin.com/WA/Kent/224012-139th-Pl-SE-98042/home/146088659
535,Single Family Residential 2018,17421 SE Covington Sawyer Rd Kent WA 98042,Covington,549950.0,4,2.5,238,39639,88,212.,http://www.redfin.com/WA/Kent/17421-SE-Covington-Sawyer-Rd-98042/home/382100
536,Single Family Residential 2018,18430 SE 279th Place Covington WA 98042,Winterwood,624950.0,4,2.5,285,14706,88,72.0,http://www.redfin.com/WA/Kent/18430-SE-279th-Pl-98042/home/382903
537,Single Family Residential 2018,18007 SE 282 Ct Covington WA 98042,Winterwood,550000.0,4,2.5,275,15167,89,72.0,http://www.redfin.com/WA/Kent/18007-SE-282nd-Ct-98042/home/381726
538,Single Family Residential 2018,13317 SE 261st Place Kent WA 98042,Lake Meridian,769950.0,4,2.75,318,7020,89,15.0,http://www.redfin.com/WA/Kent/13317-SE-261st-Pl-98042/home/109661811
539,Single Family Residential 2018,13322 SE 261st Place Kent WA 98042,Lake Meridian,809950.0,4,3.5,394,6000,89,15.0,http://www.redfin.com/WA/Kent/13322-SE-261st-Pl-98042/home/109662009
540,Single Family Residential 2018,29838 201st Place SE Kent WA 98042,Remington,629500.0,4,2.5,296,35175,89,43.0,http://www.redfin.com/WA/Kent/29838-201st-Pl-SE-98042/home/383216
541,Single Family Residential 2018,17955 SE 280th Place Kent WA 98042,Winterwood,679950.0,4,2.5,324,15939,90,72.0,http://www.redfin.com/WA/Kent/17955-SE-280th-Pl-98042/home/382952
542,Vacant Land 2018,26907 168th Place SE Kent WA 98042,Covington,174990.0,0,2.69,266,8625,94,212.,http://www.redfin.com/WA/Covington/26907-168th-Pl-SE-98042/home/56403826
543,Single Family Residential 2018,26101 208th Ave SE Covington WA 98042,Covington,699950.0,4,2.75,308,39600,95,212.,http://www.redfin.com/WA/Covington/26101-208th-Ave-SE-98042/home/369556
544,Single Family Residential 2018,25009 180th Ave SE Kent WA 98042,Covington,749950.0,3,2,179,178595,96,212.,http://www.redfin.com/WA/Covington/25009-180th-Ave-SE-98042/home/393366
545,Single Family Residential 2018,20524 SE 263rd Ct Covington WA 98042,Covington,774950.0,4,2.5,338,54886,96,212.,http://www.redfin.com/WA/Covington/20524-SE-263rd-Ct-98042/home/371099
546,Single Family Residential 2018,14729 SE Wax Rd Covington WA 98042,Covington,1100000.0,3,1.75,169,78408,98,212.,http://www.redfin.com/WA/Covington/14729-SE-Wax-Rd-98042/home/146037681
547,Single Family Residential 2018,17719 SE 224th St Kent WA 98042,Kent,450000.0,3,1.75,158,98445,102,212.,http://www.redfin.com/WA/Kent/17719-SE-224th-St-98042/home/394091
548,Single Family Residential 2018,25720 207th Ave SE Covington WA 98042,Covington,714990.0,5,3.5,385,5000,103,48.0,http://www.redfin.com/WA/Covington/25720-207th-Ave-SE-98042/home/109661102
549,Single Family Residential 2018,25714 207th Ave SE Covington WA 98042,Covington,712990.0,5,3.5,385,5000,103,48.0,http://www.redfin.com/WA/Covington/25714-207th-Ave-SE-98042/home/109661005
550,Single Family Residential 2018,30848 W Lake Morton Dr SE Kent WA 98042,Lake Morton,1150000.0,3,2.5,387,18220,103,212.,http://www.redfin.com/WA/Kent/30848-W-Lake-Morton-Dr-SE-98042/home/381699
551,Single Family Residential 2018,19449 SE 266th St Covington WA 98042,Timberlane,275000.0,3,1,110,5200,105,27.0,http://www.redfin.com/WA/Covington/19449-SE-266th-St-98042/home/372078
552,Single Family Residential 2018,20716 SE 256th (Lot 105) St Covington WA 98042,Covington,659950.0,5,3.75,386,6548,106,50.0,http://www.redfin.com/WA/Covington/20716-SE-256th-Pl-98042/home/109969599
553,Single Family Residential 2018,24516 145th Place SE Kent WA 98042,Kent,574950.0,4,2.75,259,9776,110,47.0,http://www.redfin.com/WA/Kent/24516-145th-Pl-SE-98042/home/400370
554,Vacant Land 2018,0 Covington WA 98042,Covington,3100000.0,0,2.69,266,118462,117,212.,http://www.redfin.com/WA/Covington/Undisclosed-address-98042/home/145801475
555,Single Family Residential 2018,26034 142nd Ave SE Kent WA 98042,Lake Meridian,584900.0,5,2.5,287,13095,117,15.0,http://www.redfin.com/WA/Kent/26034-142nd-Ave-SE-98042/home/398858
556,Single Family Residential 2018,16846 SE Wax Rd Covington WA 98042,Covington,750000.0,3,0.75,140,24084,119,212.,http://www.redfin.com/WA/Covington/16846-SE-Wax-Rd-98042/home/367827
557,Mobile/Manufactured Home 2018,16850 SE Wax Rd Covington WA 98042,Covington,900000.0,3,2,184,30869,119,212.,http://www.redfin.com/WA/Covington/16850-SE-Wax-Rd-98042/home/2089062
558,Single Family Residential 2018,13517 SE 253rd Place Kent WA 98042,Kent,495000.0,3,2.5,255,9653,124,33.0,http://www.redfin.com/WA/Kent/13517-SE-253rd-Pl-98042/home/400199
559,Single Family Residential 2018,19845 SE 316th Place Kent WA 98042,Lake Morton,849950.0,6,2.5,418,107796,124,10.0,http://www.redfin.com/WA/Kent/19845-SE-316th-Pl-98042/home/383303
560,Vacant Land 2018,20600 SE 264th St Covington WA 98042,Pipe Lake,140000.0,0,2.69,266,51400,137,212.,http://www.redfin.com/WA/Covington/20600-SE-264th-St-98042/home/145560959
561,Single Family Residential 2018,30130 170th Place SE Kent WA 98042,Covington,649000.0,4,2.5,383,223898,139,212.,http://www.redfin.com/WA/Kent/30130-170th-Pl-SE-98042/home/381516
562,Single Family Residential 2018,20620 SE 256th (Lot 109) Place Covington WA 98042,Covington,599950.0,4,2.5,270,5001,140,50.0,http://www.redfin.com/WA/Covington/20620-SE-256th-Pl-98042/home/109969513
563,Single Family Residential 2018,21022 SE 268th Ct Covington WA 98042,Pipe Lake,1158000.0,4,4.25,545,13158,140,212.,http://www.redfin.com/WA/Covington/21022-SE-268th-Ct-98042/home/372933
564,Vacant Land 2018,152 SE 282nd Place Kent WA 98042,Lake Meridian,99950.0,0,2.69,266,118919,141,212.,http://www.redfin.com/WA/Kent/152-SE-282nd-Pl-98042/home/113204324
565,Single Family Residential 2018,25726 207th Ave SE Covington WA 98042,Covington,710990.0,5,3.5,385,5000,143,50.0,http://www.redfin.com/WA/Covington/25726-207th-Ave-SE-98042/home/109660959
566,Single Family Residential 2018,13342 SE 227th Place Kent WA 98042,Kent,469900.0,4,2.5,289,5325,154,39.0,http://www.redfin.com/WA/Kent/13342-SE-227th-Pl-98042/home/2092163
567,Vacant Land 2018,314 E Lake Morton Dr SE Kent WA 98042,Lake Morton,101000.0,0,2.69,266,67347,168,212.,http://www.redfin.com/WA/Kent/314-E-Lake-Morton-Dr-SE-98042/home/144765008
568,Vacant Land 2018,180 SE 224th St Kent WA 98042,Lake Youngs,195000.0,0,2.69,266,275735,173,212.,http://www.redfin.com/WA/Maple-Valley/180-SE-224th-St-98042/home/104490188
569,Single Family Residential 2018,13506 SE 272nd St Kent WA 98042,Kent,425000.0,6,1.5,184,45738,186,212.,http://www.redfin.com/WA/Kent/13506-SE-272nd-St-98042/home/400816
570,Single Family Residential 2018,25719 209th Lp SE Covington WA 98042,Covington,749900.0,3,2.5,278,7855,200,52.0,http://www.redfin.com/WA/Covington/25719-209th-Loop-SE-98042/home/109661273
571,Vacant Land 2018,18259 SE 272nd St Kent WA 98042,Covington,1495000.0,0,2.69,266,66646,201,212.,http://www.redfin.com/WA/Kent/18259-SE-272nd-St-98042/home/371910
572,Vacant Land 2018,152 236th St Kent WA 98042,Soos Creek,279000.0,0,2.69,266,216582,245,212.,http://www.redfin.com/WA/Kent/152-SE-236th-St-98042/home/144712157
573,Vacant Land 2018,284 202nd Ave SW Kent WA 98042,Covington,85000.0,0,2.69,266,323650,260,212.,http://www.redfin.com/WA/Kent/284-202nd-Ave-SW-98042/home/146273838
574,Single Family Residential 2018,26877 172nd Pl SE Covington WA 98042,Covington,425000.0,3,1,103,11076,279,212.,http://www.redfin.com/WA/Covington/26877-172nd-Pl-SE-98042/home/368662
575,Vacant Land 2018,172 Ave Se & 228th St Kent WA 98042,Kent,150000.0,0,2.69,266,423384,316,212.,http://www.redfin.com/WA/Kent/172-SE-228th-St-98042/home/144266537
576,Single Family Residential 2018,25212 138th Place SE Kent WA 98042,Kent,709000.0,4,3,305,12284,339,212.,http://www.redfin.com/WA/Kent/25212-138th-Pl-SE-98042/home/144056763
577,Single Family Residential 2018,25216 138th Place SE Kent WA 98042,Kent,719000.0,5,3,300,16034,339,212.,http://www.redfin.com/WA/Kent/25216-138th-Pl-SE-98042/home/144056762
578,Single Family Residential 2018,27816 150th Place SE Lot 4 Kent WA 98042,East Hill,569950.0,4,3.25,285,5711,360,63.0,http://www.redfin.com/WA/Kent/27816-150th-Pl-SE-98042/unit-4/home/143872097
579,Single Family Residential 2018,18829 SE 240th St Covington WA 98042,Covington,550000.0,4,2.5,300,206474,364,212.,http://www.redfin.com/WA/Covington/18829-SE-240th-St-98042/home/395380
580,Single Family Residential 2018,25808 207th Ave SE Covington WA 98042,Covington,724990.0,5,3.5,433,5000,425,50.0,http://www.redfin.com/WA/Covington/25808-207th-Ave-SE-98042/home/109661146
581,Single Family Residential 2018,17281 SE Wax Rd Covington WA 98042,Covington,500000.0,3,2.25,153,41625,928,212.,http://www.redfin.com/WA/Covington/17281-SE-Wax-Rd-98042/home/367830
582,Vacant Land 2018,26810 180th Ave SE Covington WA 98042,Covington,5495000.0,0,2.69,266,666686,2016,212.,http://www.redfin.com/WA/Covington/26810-180th-Ave-SE-98042/home/368824
583,Single Family Residential 2018,30059 164th Ave SE Kent WA 98042,Kent,485600.0,1,2,100,43560,36,212.,http://www.redfin.com/WA/Kent/30059-164th-Ave-SE-98042/home/2097356
584,Single Family Residential 2018,20722 256th Pl SE Covington WA 98042,Maple Hills,699950.0,6,4,412,97298,49,212.,http://www.redfin.com/WA/Covington/20722-SE-256th-Pl-98042/home/109969484
585,Single Family Residential 2018,25618 207th Pl SE Covington WA 98042,Maple Hills,684950.0,6,4,412,97298,49,212.,http://www.redfin.com/WA/Covington/25618-207th-Pl-SE-98042/home/109969678
586,Single Family Residential 2017,Lincoln Covington WA 98042,Maple Hills,674950.0,6,4,412,97298,156,212.,http://www.redfin.com/WA/Covington/Maple-Hills/Lincoln/home/146070928
587,Single Family Residential 2017,Carnation with 3-car garage Covington WA 98042,Maple Hills,634950.0,4,3,301,97298,156,212.,http://www.redfin.com/WA/Covington/Maple-Hills/Carnation-with-3-car-garage/home/146435008
588,Single Family Residential 2017,Bainbridge Next Gen Covington WA 98042,Maple Hills,639950.0,4,3.5,318,97298,156,212.,http://www.redfin.com/WA/Covington/Maple-Hills/Bainbridge-Next-Gen/home/146070929
589,Single Family Residential 2017,Clark Covington WA 98042,Maple Hills,574950.0,4,2.5,270,97298,156,212.,http://www.redfin.com/WA/Covington/Maple-Hills/Clark/home/144933827
590,Single Family Residential 2017,Whitman Covington WA 98042,Maple Hills,649950.0,5,4,386,97298,156,212.,http://www.redfin.com/WA/Covington/Maple-Hills/Whitman/home/146009769
591,Single Family Residential 2017,Carnation Covington WA 98042,Maple Hills,614950.0,4,3,301,97298,156,212.,http://www.redfin.com/WA/Covington/Maple-Hills/Carnation/home/145657564
592,Single Family Residential 2017,Lucerne Covington WA 98042,Maple Hills,629950.0,5,3.5,303,97298,156,212.,http://www.redfin.com/WA/Covington/Maple-Hills/Lucerne/home/144964790
593,Single Family Residential 2017,Meridian Covington WA 98042,Maple Hills,614950.0,4,3,308,97298,156,212.,http://www.redfin.com/WA/Covington/Maple-Hills/Meridian/home/144933824
594,Single Family Residential 2017,Alexa Covington WA 98042,Maple Hills,562990.0,4,2.5,295,97298,156,212.,http://www.redfin.com/WA/Covington/Maple-Hills/Alexa/home/144903516
595,Single Family Residential 2017,Hemingway Covington WA 98042,Maple Hills,537990.0,4,2.5,250,97298,156,212.,http://www.redfin.com/WA/Covington/Maple-Hills/Hemingway/home/145004562
596,Single Family Residential 2017,Lot 5 Kent WA 98057,Lake Ridge,809950.0,5,2.5,375,97298,156,212.,http://www.redfin.com/WA/Kent/Lake-Ridge/Lot-5/home/146082793
597,Single Family Residential 2017,Lot 11 Kent WA 98057,Lake Ridge,769950.0,4,2,302,97298,156,212.,http://www.redfin.com/WA/Kent/Lake-Ridge/Lot-11/home/146082792
598,Single Family Residential 2018,26023 121st Ave SE Kent WA 98030,Kent,439000.0,4,2.25,166,8821,89,17.0,http://www.redfin.com/WA/Kent/26023-121st-Ave-SE-98030/home/400439
599,Single Family Residential 2018,26430 97th Ave S Kent WA 98030,Scenic Hill,615000.0,4,2.5,296,233462,93,212.,http://www.redfin.com/WA/Kent/26430-97th-Ave-S-98030/home/397055
600,Condo/Co-op 2018,11515 SE 258th St Unit H201 Kent WA 98030,East Hill,209950.0,2,1,134,103237,96,326.,http://www.redfin.com/WA/Kent/11515-SE-258th-St-98030/unit-H201/home/12091454
601,Condo/Co-op 2018,1629 Maple Lane Unit B Kent WA 98030,Kent,125000.0,2,1,930,97298,100,300.,http://www.redfin.com/WA/Kent/1629-Maple-Ln-98030/unit-B/home/146029824
602,Condo/Co-op 2018,1629 Maple Lane Unit F Kent WA 98030,Kent,125000.0,2,1,930,97298,100,300.,http://www.redfin.com/WA/Kent/1629-Maple-Ln-98030/unit-F/home/146029823
603,Condo/Co-op 2018,1629 Maple Lane Unit E Kent WA 98030,Kent,125000.0,2,1,930,97298,100,300.,http://www.redfin.com/WA/Kent/1629-Maple-Ln-98030/unit-E/home/146029814
604,Condo/Co-op 2018,1629 Maple Lane Unit D Kent WA 98030,Kent,125000.0,2,1,930,97298,100,300.,http://www.redfin.com/WA/Kent/1629-Maple-Ln-98030/unit-D/home/146029782
605,Condo/Co-op 2018,1629 Maple Lane Unit A Kent WA 98030,Kent,125000.0,2,1,930,97298,100,300.,http://www.redfin.com/WA/Kent/1629-Maple-Ln-98030/unit-A/home/146029730
606,Single Family Residential 2018,406 Scenic Wy Kent WA 98030,Scenic Hill,549950.0,4,2,281,12975,103,212.,http://www.redfin.com/WA/Kent/406-Scenic-Way-98030/home/396641
607,Single Family Residential 2018,12828 SE 255th Place #15 Kent WA 98030,Kent,649950.0,4,3.5,318,7385,110,51.0,http://www.redfin.com/WA/Kent/12828-SE-255th-Pl-98030/unit-15/home/145902196
608,Single Family Residential 2018,26826 120th Ave SE Kent WA 98030,East Hill,689950.0,4,2.5,402,6003,118,212.,http://www.redfin.com/WA/Kent/26826-120th-Ave-SE-98030/home/22493695
609,Single Family Residential 2018,24920 123rd Place SE Kent WA 98030,Kent,619950.0,3,2.5,297,3650,122,72.0,http://www.redfin.com/WA/Kent/24920-123rd-Pl-SE-98030/home/143457818
610,Single Family Residential 2018,25019 122nd Place SE Kent WA 98030,Kent,519950.0,3,2.5,215,3070,122,72.0,http://www.redfin.com/WA/Kent/25019-122nd-Pl-SE-98030/home/143457750
611,Single Family Residential 2018,24103 119th Place SE Kent WA 98030,East Hill,542000.0,5,2.75,319,5855,128,50.0,http://www.redfin.com/WA/Kent/24103-119th-Pl-SE-98030/home/12317706
612,Multi-Family (2-4 Unit) 2018,1419 S Maple Lane Kent WA 98030,Green River,699950.0,8,4,357,11500,132,212.,http://www.redfin.com/WA/Kent/1419-Maple-Ln-98030/home/2061511
613,Single Family Residential 2018,27643 121st Place SE Kent WA 98031,Kent,425000.0,3,2.75,209,11780,132,212.,http://www.redfin.com/WA/Kent/27643-121st-Pl-SE-98030/home/403539
614,Single Family Residential 2018,24319 102nd Ave SE Kent WA 98030,Kent,749999.0,7,3.75,403,24057,137,212.,http://www.redfin.com/WA/Kent/24319-102nd-Ave-SE-98030/home/397979
615,Condo/Co-op 2018,9623 S 248th St Unit E1 Kent WA 98030,East Hill,145000.0,1,1,640,97298,144,276.,http://www.redfin.com/WA/Kent/9623-S-248th-St-98030/unit-E1/home/145520508
616,Single Family Residential 2018,10805 SE 248th St Kent WA 98030,Kent,599950.0,4,2,165,32590,148,212.,http://www.redfin.com/WA/Kent/10805-SE-248th-St-98030/home/400091
617,Single Family Residential 2018,26708 118th Wy SE Kent WA 98030,Kent,444950.0,4,2.5,212,6581,151,212.,http://www.redfin.com/WA/Kent/26708-118th-Way-SE-98030/home/406068
618,Single Family Residential 2018,24202 93rd Ct S #9 Kent WA 98030,East Hill,598500.0,4,2.75,271,5059,161,30.0,http://www.redfin.com/WA/Kent/24202-93rd-Ct-S-98030/unit-9/home/145300380
619,Single Family Residential 2018,11619 SE 266th Ct Kent WA 98030,East Hill,579950.0,4,2.5,297,5707,166,120.,http://www.redfin.com/WA/Kent/11619-SE-266th-Ct-98030/home/22497359
620,Single Family Residential 2018,24210 93rd Ct S #7 Kent WA 98030,East Hill,624000.0,4,2.75,273,5059,183,35.0,http://www.redfin.com/WA/Kent/24210-93rd-Ct-S-98030/unit-7/home/145166276
621,Single Family Residential 2018,25428 128th Place SE #12 Kent WA 98030,Kent,619950.0,4,3,301,5700,199,212.,http://www.redfin.com/WA/Kent/25428-128th-Pl-SE-98030/unit-12/home/145035441
622,Single Family Residential 2018,9315 S 243rd Place #17 Kent WA 98030,East Hill,613900.0,4,2.75,273,5059,339,30.0,http://www.redfin.com/WA/Kent/9315-S-243rd-St-98030/unit-17/home/144059795
